number,name,status
713,Callable Modules,Rejected
722,Dependency specification for single-file scripts,Rejected
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,Rejected
727,Documentation in Annotated Metadata,Withdrawn
690,Lazy Imports,Rejected
679,New assert statement syntax with parentheses,Rejected
677,Callable Type Syntax,Rejected
736,Shorthand syntax for keyword arguments at invocation,Rejected
712,Adding a “converter” parameter to dataclasses.field,Rejected
665,A file format to list Python dependencies for reproducibility of an application,Rejected
663,"Standardizing Enum str(), repr(), and format() behaviors",Rejected
662,Editable installs via virtual wheels,Rejected
707,A simplified signature for __exit__ and __aexit__,Rejected
704,Require virtual environments by default for package installers,Withdrawn
648,Extensible customizations of the interpreter at startup,Rejected
645,Allow writing optional types as ,Withdrawn
641,Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
666,Reject Foolish Indentation,Rejected
651,Robust Stack Overflow Handling,Rejected
633,Dependency specification in pyproject.toml using an exploded TOML table,Rejected
637,Support for indexing with keyword arguments,Rejected
631,Dependency specification in pyproject.toml based on PEP 508,Superseded
650,Specifying Installer Requirements for Python Projects,Withdrawn
622,Structural Pattern Matching,Superseded
608,Coordinated Python release,Rejected
611,The one million limit,Withdrawn
640,Unused variable syntax,Rejected
642,Explicit Pattern Syntax for Structural Pattern Matching,Rejected
606,Python Compatibility Version,Rejected
599,The manylinux2014 Platform Tag,Superseded
598,Introducing incremental feature releases,Withdrawn
582,Python local packages directory,Rejected
620,Hide implementation details from the C API,Withdrawn
580,The C call protocol,Rejected
577,Augmented Assignment Expressions,Withdrawn
601,Forbid return/break/continue breaking out of finally,Rejected
605,A rolling feature release stream for CPython,Rejected
576,Rationalize Built-in function classes,Withdrawn
571,The manylinux2010 Platform Tag,Superseded
583,A Concurrency Memory Model for Python,Withdrawn
563,Postponed Evaluation of Annotations,Superseded
595,Improving bugs.python.org,Withdrawn
555,Context-local variables (contextvars),Withdrawn
554,Multiple Interpreters in the Stdlib,Superseded
575,Unifying function/method classes,Withdrawn
550,Execution Context,Withdrawn
548,More Flexible Loop Control,Rejected
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Rejected
559,Built-in noop(),Rejected
558,Defined semantics for locals(),Withdrawn
542,Dot Notation Assignment In Function Header,Rejected
536,Final Grammar for Literal String Interpolation,Withdrawn
534,Improved Errors for Missing Standard Library Modules,Withdrawn
549,Instance Descriptors,Rejected
551,Security transparency in the Python runtime,Withdrawn
516,Build system abstraction for pip/conda etc,Rejected
521,Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
513,A Platform Tag for Portable Linux Built Distributions,Superseded
543,A Unified TLS API for Python,Withdrawn
509,Add a private version to dict,Superseded
507,Migrate CPython to Git and GitLab,Rejected
504,Using the System RNG by default,Withdrawn
522,Allow BlockingIOError in security sensitive APIs,Rejected
500,A protocol for delegating datetime methods to their tzinfo implementations,Rejected
501,General purpose template literal strings,Withdrawn
531,Existence checking operators,Withdrawn
510,Specialize functions with guards,Rejected
511,API for code transformers,Rejected
490,Chain exceptions at C level,Rejected
481,"Migrate CPython to Git, Github, and Phabricator",Withdrawn
502,String Interpolation - Extended Discussion,Rejected
469,Migration of dict iteration code to Python 3,Withdrawn
463,Exception-catching expressions,Rejected
497,A standard mechanism for backward compatibility,Rejected
496,Environment Markers,Rejected
459,Standard Metadata Extensions for Python Software Packages,Withdrawn
460,Add binary interpolation and formatting,Withdrawn
474,Creating forge.python.org,Withdrawn
473,Adding structured data to built-in exceptions,Rejected
472,Support for indexing with keyword arguments,Rejected
455,Adding a key-transforming dictionary to collections,Rejected
437,"A DSL for specifying signatures, annotations and argument converters",Rejected
433,Easier suppression of file descriptor inheritance,Superseded
422,Simpler customisation of class creation,Withdrawn
462,Core development workflow automation for CPython,Withdrawn
416,Add a frozendict builtin type,Rejected
413,Faster evolution of the Python Standard Library,Withdrawn
439,Inclusion of implicit pip bootstrap in Python installation,Rejected
411,Provisional packages in the Python standard library,Superseded
432,Restructuring the CPython startup sequence,Withdrawn
406,Improved Encapsulation of Import State,Withdrawn
402,Simplified Package Layout and Partitioning,Rejected
431,Time zone support improvements,Superseded
426,Metadata for Python Software Packages 2.0,Withdrawn
395,Qualified Names for Modules,Withdrawn
390,Static metadata for Distutils,Rejected
386,Changing the version comparison module in Distutils,Superseded
408,Standard library __preview__ package,Rejected
410,Use decimal.Decimal type for timestamps,Rejected
401,BDFL Retirement,April Fool!
381,Mirroring infrastructure for PyPI,Withdrawn
379,Adding an Assignment Expression,Withdrawn
369,Post import hooks,Withdrawn
396,Module Version Numbers,Withdrawn
364,Transitioning to the Py3K Standard Library,Withdrawn
363,Syntax For Dynamic Attribute Access,Rejected
382,Namespace Packages,Rejected
359,The “make” Statement,Withdrawn
354,Enumerations in Python,Superseded
367,New Super,Superseded
350,Codetags,Rejected
351,The freeze protocol,Rejected
355,Path - Object oriented filesystem paths,Rejected
348,Exception Reorganization for Python 3.0,Rejected
377,Allow __enter__() methods to skip the statement body,Rejected
344,Exception Chaining and Embedded Tracebacks,Superseded
365,Adding the pkg_resources module,Rejected
345,Metadata for Python Software Packages 1.2,Superseded
349,Allow str() to return unicode strings,Rejected
340,Anonymous Block Statements,Rejected
332,Byte vectors and String/Unicode Unification,Rejected
335,Overloadable Boolean Operators,Rejected
326,A Case for Top and Bottom Values,Rejected
329,Treating Builtins as Constants in the Standard Library,Rejected
325,Resource-Release Support for Generators,Rejected
346,User Defined (”,Withdrawn
321,Date/Time Parsing and Formatting,Withdrawn
319,Python Synchronize/Asynchronize Block,Rejected
317,Eliminate Implicit Exception Instantiation,Rejected
330,Python Bytecode Verification,Rejected
334,Simple Coroutines via SuspendIteration,Withdrawn
314,Metadata for Python Software Packages 1.1,Superseded
313,Adding Roman Numeral Literals to Python,Rejected
336,Make None Callable,Rejected
310,Reliable Acquisition/Release Pairs,Rejected
339,Design of the CPython Compiler,Withdrawn
303,Extend divmod() for Multiple Divisors,Rejected
298,The Locked Buffer Interface,Withdrawn
299,Special __main__() function in modules,Rejected
297,Support for System Upgrades,Rejected
315,Enhanced While Loop,Rejected
295,Interpretation of multiline string constants,Rejected
294,Type Names in the types Module,Rejected
291,Backward Compatibility for the Python 2 Standard Library,Superseded
306,How to Change Python’s Grammar,Withdrawn
304,Controlling Generation of Bytecode Files,Withdrawn
281,Loop Counter Iteration with range and xrange,Rejected
276,Simple Iterator for ints,Rejected
275,Switching on Multiple Values,Rejected
296,Adding a bytes Object Type,Withdrawn
288,Generators Attributes and Exceptions,Withdrawn
268,Extended HTTP functionality and WebDAV,Rejected
284,Integer for-loops,Rejected
266,Optimizing Global Variable/Attribute Access,Withdrawn
265,Sorting Dictionaries by Value,Rejected
256,Docstring Processing System Framework,Rejected
271,Prefixing sys.path by command line option,Rejected
258,Docutils Design Specification,Rejected
254,Making Classes Look More Like Types,Rejected
270,uniq method for list objects,Rejected
245,Python Interface Syntax,Rejected
242,Numeric Kinds,Withdrawn
244,The ,Rejected
262,A Database of Installed Python Packages,Rejected
259,Omit printing newline after newline,Rejected
240,Adding a Rational Literal to Python,Rejected
231,__findattr__(),Rejected
239,Adding a Rational Type to Python,Rejected
246,Object Adaptation,Rejected
243,Module Repository Upload Mechanism,Withdrawn
225,Elementwise/Objectwise Operators,Rejected
224,Attribute Docstrings,Rejected
220,"Coroutines, Generators, Continuations",Rejected
216,Docstring Format,Withdrawn
241,Metadata for Python Software Packages,Superseded
209,Multi-dimensional Arrays,Withdrawn
206,Python Advanced Library,Withdrawn
210,Decoupling the Interpreter Loop,Rejected
228,Reworking Python’s Numeric Model,Withdrawn
215,String Interpolation,Superseded
42,Feature Requests,Withdrawn
103,Collecting information about git,Withdrawn
102,Doing Python Micro Releases,Superseded
212,Loop Counter Iteration,Rejected
211,Adding A New Outer Product Operator,Rejected
3143,Standard daemon process library,Deferred
204,Range Literals,Rejected
3150,Statement local namespaces (aka “given” clause),Deferred
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
9,Sample Plaintext PEP Template,Withdrawn
774,Removing the LLVM requirement for JIT builds,Deferred
674,Disallow using macros as l-values,Deferred
556,Threaded garbage collection,Deferred
3,Guidelines for Handling Bug Reports,Withdrawn
535,Rich comparison chaining,Deferred
533,Deterministic cleanup for iterators,Deferred
532,A circuit breaking protocol and binary operators,Deferred
